epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.9816,1.51301,2.03599,1.49479,0.63752,0.59996,0.59342,0.33997,1.3958,1.18171,1.31061,0.00332934,0.00332934,0.00332934
2,116.027,1.39328,1.35903,1.32423,0.59857,0.54927,0.5657,0.3236,1.46444,1.23453,1.35129,0.00653075,0.00653075,0.00653075
3,170.725,1.46673,1.50612,1.37574,0.54196,0.48031,0.4832,0.27449,1.54033,1.65366,1.43565,0.00960016,0.00960016,0.00960016
4,224.553,1.52657,1.61502,1.42477,0.58043,0.50634,0.52832,0.29729,1.49764,1.41892,1.4082,0.009406,0.009406,0.009406
5,278.401,1.48127,1.50369,1.38802,0.6304,0.57174,0.58911,0.34165,1.43852,1.26174,1.36968,0.009208,0.009208,0.009208
6,331.561,1.44012,1.4075,1.35628,0.65536,0.58614,0.61295,0.36325,1.39398,1.18786,1.33795,0.00901,0.00901,0.00901
7,385.092,1.39539,1.32114,1.3326,0.67672,0.60427,0.64305,0.37467,1.40136,1.11562,1.32548,0.008812,0.008812,0.008812
8,438.623,1.36209,1.25995,1.31114,0.70822,0.60212,0.65816,0.38345,1.38146,1.08068,1.31464,0.008614,0.008614,0.008614
9,492.589,1.33915,1.203,1.28832,0.68226,0.63317,0.6649,0.39768,1.32517,1.03181,1.28006,0.008416,0.008416,0.008416
10,545.205,1.32249,1.17492,1.28167,0.70122,0.62423,0.6745,0.40472,1.32596,0.99906,1.27766,0.008218,0.008218,0.008218
11,599.525,1.30021,1.13844,1.26795,0.70855,0.63998,0.67542,0.40669,1.34603,0.99115,1.28493,0.00802,0.00802,0.00802
12,653.682,1.28228,1.09322,1.25346,0.70209,0.66006,0.69789,0.42298,1.3059,0.93819,1.2551,0.007822,0.007822,0.007822
13,707.379,1.27172,1.06618,1.24317,0.73862,0.65619,0.71005,0.43161,1.29625,0.93364,1.24782,0.007624,0.007624,0.007624
14,760.982,1.25205,1.03762,1.23389,0.75842,0.66948,0.7218,0.43732,1.28899,0.89994,1.2412,0.007426,0.007426,0.007426
15,814.561,1.23305,1.01459,1.22981,0.75947,0.66325,0.7285,0.44317,1.27936,0.89824,1.23535,0.007228,0.007228,0.007228
16,868.829,1.22429,0.98807,1.21675,0.73401,0.66743,0.7164,0.44211,1.26772,0.87369,1.23028,0.00703,0.00703,0.00703
17,922.486,1.20804,0.96453,1.20564,0.78641,0.66155,0.73481,0.45613,1.27091,0.8531,1.23504,0.006832,0.006832,0.006832
18,977.459,1.19911,0.94792,1.20198,0.76516,0.68051,0.74456,0.46477,1.24607,0.84321,1.21675,0.006634,0.006634,0.006634
19,1031.05,1.17825,0.91535,1.19148,0.75585,0.70474,0.74624,0.46229,1.24453,0.83156,1.22497,0.006436,0.006436,0.006436
20,1084.91,1.16501,0.90619,1.18176,0.77747,0.68683,0.74848,0.46841,1.23377,0.83527,1.21473,0.006238,0.006238,0.006238
21,1138.74,1.15898,0.89773,1.17718,0.75263,0.70134,0.74505,0.46662,1.23388,0.82751,1.20059,0.00604,0.00604,0.00604
22,1192.67,1.15037,0.87562,1.17221,0.77858,0.68723,0.74304,0.47102,1.21971,0.78678,1.20224,0.005842,0.005842,0.005842
23,1246.81,1.13286,0.85146,1.1616,0.79163,0.69103,0.75109,0.47658,1.21233,0.80313,1.19481,0.005644,0.005644,0.005644
24,1300.61,1.13687,0.84977,1.16136,0.77233,0.69745,0.74465,0.47058,1.21165,0.79487,1.19512,0.005446,0.005446,0.005446
25,1354.79,1.12089,0.82593,1.1509,0.78429,0.6981,0.75847,0.47917,1.19956,0.76877,1.1801,0.005248,0.005248,0.005248
26,1408.39,1.11178,0.81366,1.14651,0.77721,0.70222,0.75392,0.47826,1.20399,0.77841,1.18773,0.00505,0.00505,0.00505
27,1461.91,1.09876,0.80054,1.14097,0.79916,0.70052,0.75863,0.48472,1.2056,0.77544,1.1912,0.004852,0.004852,0.004852
28,1515.4,1.09123,0.7863,1.13188,0.78766,0.70926,0.76183,0.48524,1.19641,0.76707,1.18497,0.004654,0.004654,0.004654
29,1569.79,1.0799,0.7758,1.12617,0.78358,0.71356,0.76173,0.4899,1.20064,0.76309,1.19211,0.004456,0.004456,0.004456
30,1623.29,1.06823,0.75721,1.12223,0.77914,0.72113,0.76492,0.48643,1.20545,0.76228,1.19281,0.004258,0.004258,0.004258
31,1676.83,1.05167,0.74182,1.11242,0.78056,0.72635,0.77243,0.49533,1.18463,0.74536,1.18304,0.00406,0.00406,0.00406
32,1731.11,1.05229,0.73429,1.11477,0.79774,0.71056,0.76267,0.48946,1.20405,0.75997,1.1989,0.003862,0.003862,0.003862
33,1784.68,1.04671,0.72267,1.10626,0.779,0.71022,0.7547,0.48621,1.19614,0.75395,1.19371,0.003664,0.003664,0.003664
34,1839.26,1.02726,0.70852,1.10268,0.79156,0.71298,0.76152,0.48991,1.19905,0.74951,1.19408,0.003466,0.003466,0.003466
35,1893.28,1.00777,0.69521,1.09207,0.77621,0.72014,0.76694,0.49788,1.18378,0.75053,1.18318,0.003268,0.003268,0.003268
36,1947.76,1.01084,0.69093,1.08857,0.78286,0.73625,0.7757,0.49823,1.18748,0.74323,1.1879,0.00307,0.00307,0.00307
37,2003.44,0.99898,0.67,1.08121,0.79807,0.72443,0.77187,0.49672,1.18893,0.75015,1.18899,0.002872,0.002872,0.002872
38,2057.87,0.99592,0.66912,1.08014,0.8151,0.71136,0.7713,0.4962,1.19121,0.73991,1.19137,0.002674,0.002674,0.002674
39,2111.42,0.97648,0.64894,1.0731,0.82903,0.71481,0.77721,0.50115,1.1894,0.75179,1.18667,0.002476,0.002476,0.002476
