epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,266.316,1.24616,1.89079,1.30018,0.89675,0.71429,0.76004,0.51481,1.33226,0.85,1.31506,0.000333119,0.000333119,0.000333119
2,524.364,1.22527,0.76327,1.28146,0.9277,0.72204,0.77897,0.52155,1.31481,0.77226,1.2923,0.000600474,0.000600474,0.000600474
3,771.65,1.22197,0.72816,1.27406,0.92619,0.72563,0.79663,0.53419,1.31328,0.74672,1.28504,0.000801828,0.000801828,0.000801828
4,1013.85,1.21091,0.71284,1.26996,0.79106,0.7858,0.80815,0.53572,1.32011,0.73449,1.29147,0.000703,0.000703,0.000703
5,1267.31,1.20801,0.69976,1.26139,0.8184,0.78435,0.81347,0.54878,1.30355,0.72252,1.27778,0.000604,0.000604,0.000604
6,1513.85,1.19945,0.68552,1.2535,0.81614,0.79385,0.82195,0.55652,1.30208,0.7164,1.27516,0.000505,0.000505,0.000505
7,1757.23,1.19256,0.67997,1.25368,0.8361,0.78543,0.82767,0.56182,1.30226,0.70881,1.27478,0.000406,0.000406,0.000406
8,2007.54,1.19214,0.67587,1.25131,0.84659,0.78485,0.82802,0.56361,1.29786,0.70221,1.2725,0.000307,0.000307,0.000307
9,2246.24,1.18841,0.66959,1.24888,0.84213,0.78363,0.8287,0.56713,1.29303,0.70219,1.27087,0.000208,0.000208,0.000208
10,2487.37,1.18611,0.66352,1.24625,0.85297,0.78339,0.83235,0.56752,1.29818,0.69903,1.27126,0.000109,0.000109,0.000109
